groupid,groupsize,idingroup,strippedname,name,sku,platform,ASIN,matching_likelihood,matching_method,ParentProduct,SKU_Role,source_asin,source_title
184,58,18,USAV Bluetooth for Bose Wave Radio CD player AWRC-1G AWRC-1P,USAV Bluetooth Adapter for Bose Wave Radio CD player AWRC-1G / AWRC-1P,365352544456,USAV_eBay,,100.0,stripped_name,"['AWRC-1G', 'AWRC-1P']",A,B0C7FKCYK2,USAV OEM Bluetooth Adapter for Bose Wave Radio CD Player AWRC-1G AWRC-1P
184,58,28,Bluetooth for Bose Wave Radio CD player AWRC-1G AWRC-1P,OEM Bluetooth Adapter for  Bose Wave Radio CD player AWRC-1G AWRC-1P,155737997644,MEKONG_eBay,,1.35,threshold,"['AWRC-1G', 'AWRC-1P']",A,B0C7FKCYK2,USAV OEM Bluetooth Adapter for Bose Wave Radio CD Player AWRC-1G AWRC-1P
184,58,32,Bose Wave Radio CD player AWRC-1G AWRC-1P USAV Bluetooth Only,Bose Wave Radio CD player AWRC-1G AWRC-1P -  USAV Bluetooth Adapter  Only,365083487490,USAV_eBay,,1.23,threshold,"['AWRC-1G', 'AWRC-1P']",A,B0C7FKCYK2,USAV OEM Bluetooth Adapter for Bose Wave Radio CD Player AWRC-1G AWRC-1P
184,58,33,USAV Bluetooth for Wave Radio CD player AWRC-1G AWRC-1P,USAV Bluetooth Adapter for Wave Radio CD player AWRC-1G AWRC-1P,01791-6,Ecwid,,1.23,threshold,"['AWRC-1G', 'AWRC-1P']",A,B0C7FKCYK2,USAV OEM Bluetooth Adapter for Bose Wave Radio CD Player AWRC-1G AWRC-1P
184,58,37,USAV Bluetooth Upgrade Kit for Bose Wave Radio CD player AWRC-1G AWRC-1P,USAV Bluetooth Upgrade Kit for  Bose Wave Radio CD player AWRC-1G AWRC-1P,365352567473,USAV_eBay,,1.16,threshold,"['AWRC-1G', 'AWRC-1P']",A,B0C7FKCYK2,USAV OEM Bluetooth Adapter for Bose Wave Radio CD Player AWRC-1G AWRC-1P
184,58,0,USAV Bluetooth for Bose Wave Music System II III IV AWRCC1 AWRCC2,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",AH-GZU6-NKEM,Amazon,B0C79P9K65,100.0,stripped_name,"['AWRCC1', 'AWRCC2']",A,B0C79P9K65,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2"
184,58,1,USAV Bluetooth for Bose Wave Music System II III IV AWRCC1 AWRCC2,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",NV-6VNP-5YFT,Amazon,B0C79P9K65,100.0,stripped_name,"['AWRCC1', 'AWRCC2']",A,B0C79P9K65,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2"
184,58,2,USAV Bluetooth for Bose Wave Music System II III IV AWRCC1 AWRCC2,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",00952,Amazon,B0C79P9K65,100.0,stripped_name,"['AWRCC1', 'AWRCC2']",A,B0C79P9K65,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2"
184,58,3,USAV Bluetooth for Bose Wave Music System II III IV AWRCC1 AWRCC2,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",Amazon.Found.B0C79P9K65,Amazon,B0C79P9K65,100.0,stripped_name,"['AWRCC1', 'AWRCC2']",A,B0C79P9K65,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2"
184,58,4,USAV Bluetooth for Bose Wave Music System II III IV AWRCC1 AWRCC2,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",BP-0CGL-JMO4,Amazon,B0C79P9K65,100.0,stripped_name,"['AWRCC1', 'AWRCC2']",A,B0C79P9K65,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2"
